FileName,TruePositive,TrueNegaitive,FalsePositive,FalseNegative,RandIndex,Precision,Recall,F-measure
DL147-3B,159,117,90,130,0.556451612903,0.638554216867,0.550173010381,0.591078066914
IMAG2888,70,0,83,0,0.457516339869,0.457516339869,1.0,0.627802690583
IMAG2889,34,42,32,28,0.558823529412,0.515151515152,0.548387096774,0.53125
IMG_0999,103,65,30,78,0.608695652174,0.774436090226,0.569060773481,0.656050955414
IMG_1000,177,76,0,0,1.0,1.0,1.0,1.0
IMG_1002,823,1289,279,849,0.651851851852,0.746823956443,0.492224880383,0.593366979092
IMG_1009,274,539,33,282,0.720744680851,0.892508143322,0.492805755396,0.634994206257
IMG_1010,87,54,81,54,0.510869565217,0.517857142857,0.617021276596,0.563106796117
IMG_1012,65,5,11,55,0.514705882353,0.855263157895,0.541666666667,0.663265306122
IMG_1014,2936,2258,352,1240,0.765399351606,0.892944038929,0.7030651341,0.786709539121
IMG_1015,824,1107,63,491,0.777062374245,0.928974069899,0.626615969582,0.748410535876
IMG_1017,6,0,4,0,0.6,0.6,1.0,0.75
IMG_1020,229,216,60,90,0.747899159664,0.792387543253,0.717868338558,0.753289473684
IMG_1022,179,314,64,184,0.665317139001,0.736625514403,0.493112947658,0.590759075908
IMG_1025,538,33,5,165,0.770580296896,0.990791896869,0.765291607397,0.863563402889
IMG_1027,7,0,8,0,0.466666666667,0.466666666667,1.0,0.636363636364
IMG_1030,37,28,35,20,0.541666666667,0.513888888889,0.649122807018,0.573643410853
IMG_1034,3831,88,3,264,0.936215957955,0.999217527387,0.935531135531,0.966326144533
IMG_1035,117,16,60,60,0.525691699605,0.661016949153,0.661016949153,0.661016949153
IMG_1036,301,541,126,358,0.634992458522,0.704918032787,0.456752655539,0.554327808471
IMG_1037,123,0,48,0,0.719298245614,0.719298245614,1.0,0.836734693878
IMG_1040,21,0,7,0,0.75,0.75,1.0,0.857142857143
IMG_1042,353,802,78,783,0.572916666667,0.819025522042,0.31073943662,0.450542437779
IMG_1043,36,0,9,0,0.8,0.8,1.0,0.888888888889
IMG_1044,81,0,39,0,0.675,0.675,1.0,0.805970149254
IMG_1045,6,0,4,0,0.6,0.6,1.0,0.75
IMG_1046,9,0,12,0,0.428571428571,0.428571428571,1.0,0.6
